2019-03-06 14:03:54  django.db.backends  DEBUG  [91]   (0.008) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_group'; args=['auth_group']
2019-03-06 14:03:54  django.db.backends  DEBUG  [91]   (0.007) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_group'; args=['auth_group']
2019-03-06 14:03:54  django.db.backends.schema  DEBUG  [111]   CREATE TABLE `auth_group_permissions` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `group_id` integer NOT NULL, `permission_id` integer NOT NULL); (params None)
2019-03-06 14:03:54  django.db.backends  DEBUG  [91]   (0.024) CREATE TABLE `auth_group_permissions` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `group_id` integer NOT NULL, `permission_id` integer NOT NULL); args=None
2019-03-06 14:03:54  django.db.backends  DEBUG  [91]   (0.006) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_group_permissions'; args=['auth_group_permissions']
2019-03-06 14:03:54  django.db.backends  DEBUG  [91]   (0.009) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_group_permissions'; args=['auth_group_permissions']
2019-03-06 14:03:54  django.db.backends  DEBUG  [91]   (0.008) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_group_permissions'; args=['auth_group_permissions']
2019-03-06 14:03:54  django.db.backends.schema  DEBUG  [111]   CREATE TABLE `auth_user` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `password` varchar(128) NOT NULL, `last_login` datetime(6) NOT NULL, `is_superuser` bool NOT NULL, `username` varchar(30) NOT NULL UNIQUE, `first_name` varchar(30) NOT NULL, `last_name` varchar(30) NOT NULL, `email` varchar(75) NOT NULL, `is_staff` bool NOT NULL, `is_active` bool NOT NULL, `date_joined` datetime(6) NOT NULL); (params None)
2019-03-06 14:03:54  django.db.backends  DEBUG  [91]   (0.028) CREATE TABLE `auth_user` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `password` varchar(128) NOT NULL, `last_login` datetime(6) NOT NULL, `is_superuser` bool NOT NULL, `username` varchar(30) NOT NULL UNIQUE, `first_name` varchar(30) NOT NULL, `last_name` varchar(30) NOT NULL, `email` varchar(75) NOT NULL, `is_staff` bool NOT NULL, `is_active` bool NOT NULL, `date_joined` datetime(6) NOT NULL); args=None
2019-03-06 14:03:54  django.db.backends  DEBUG  [91]   (0.007) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_user'; args=['auth_user']
2019-03-06 14:03:54  django.db.backends  DEBUG  [91]   (0.007) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_user'; args=['auth_user']
2019-03-06 14:03:54  django.db.backends  DEBUG  [91]   (0.007) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_user'; args=['auth_user']
2019-03-06 14:03:54  django.db.backends  DEBUG  [91]   (0.007) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_user'; args=['auth_user']
2019-03-06 14:03:54  django.db.backends  DEBUG  [91]   (0.007) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_user'; args=['auth_user']
2019-03-06 14:03:54  django.db.backends  DEBUG  [91]   (0.007) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_user'; args=['auth_user']
2019-03-06 14:03:54  django.db.backends  DEBUG  [91]   (0.007) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_user'; args=['auth_user']
2019-03-06 14:03:54  django.db.backends  DEBUG  [91]   (0.007) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_user'; args=['auth_user']
2019-03-06 14:03:54  django.db.backends  DEBUG  [91]   (0.007) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_user'; args=['auth_user']
2019-03-06 14:03:54  django.db.backends  DEBUG  [91]   (0.006) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_user'; args=['auth_user']
2019-03-06 14:03:54  django.db.backends  DEBUG  [91]   (0.007) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_user'; args=['auth_user']
2019-03-06 14:03:54  django.db.backends.schema  DEBUG  [111]   CREATE TABLE `auth_user_groups` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `group_id` integer NOT NULL); (params None)
